Rank,Game,Platform,Hours Played,Sessions,First Played,Last Played,Last Update
75,Grand Theft Auto V,PS5,16,10,2026-01-21,2026-03-31,2026-04-01
76,Marvel's Spider-Man: Miles Morales,PS5,16,2,2023-10-07,2023-10-09,2026-04-01
77,NBA LIVE 19,PS4,16,13,2024-10-27,2024-11-08,2026-04-01
78,LEGO Harry Potter Collection,PS4,15,14,2022-02-09,2022-09-04,2026-04-01
79,HBO Max,PS4,15,10,2023-01-03,2023-05-25,2026-04-01
80,NBA 2K16,PS4,15,8,2022-07-28,2025-03-30,2026-04-01
81,SWORD ART ONLINE Alicization Lycoris,PS4,15,7,2021-10-11,2022-10-23,2026-04-01
82,BioShock: The Collection,PS4,15,8,2021-04-16,2024-08-31,2026-04-01
83,MLB The Show 21,PS4,14,18,2021-07-11,2021-08-13,2026-04-01
84,NieR Replicant ver.1.22474487139,PS4,14,21,2021-04-26,2025-04-24,2026-04-01
85,CRISIS CORE FINAL FANTASY VII REUNION,PS5,12,4,2022-12-26,2023-12-18,2026-04-01
86,LEGO Marvel Super Heroes,PS4,12,1,2021-08-13,2025-09-01,2026-04-01
87,Batman: Return to Arkham,PS4,11,3,2024-05-31,2025-03-25,2026-04-01
88,EA SPORTS College Football 26,PS5,10,2,2025-08-30,2025-08-31,2026-04-01
89,NieR:Automata,PS4,10,21,2021-07-11,2025-04-13,2026-04-01
90,Middle-earth: Shadow of War,PS4,10,5,2021-10-09,2024-10-13,2026-04-01
91,ELDEN RING,PS5,10,6,2023-07-25,2023-09-04,2026-04-01
92,Disney+,PS4,9,19,2023-01-02,2025-08-25,2026-04-01
93,Demon Slayer: The Hinokami Chronicles,PS4,10,25,2021-10-19,2024-12-23,2026-04-01
94,Sifu,PS4,8,9,2024-09-08,2025-03-10,2026-04-01
95,Batman: Return to Arkham (2nd entry),PS4,8,2,2022-04-03,2022-06-25,2026-04-01
96,Borderlands 3,PS5,8,7,2022-02-08,2025-04-23,2026-04-01
97,Overwatch 2,PS5,7,4,2022-10-08,2025-02-23,2026-04-01
98,NARUTO TO BORUTO: SHINOBI STRIKER,PS4,7,6,2021-04-15,2021-04-16,2026-04-01
99,Marvel's Guardians of the Galaxy,PS5,7,1,2021-11-13,2021-11-14,2026-04-01
100,A Way Out,PS4,7,2,2021-11-21,2024-11-11,2026-04-01
101,JUMP FORCE,PS4,7,10,2021-11-20,2024-10-22,2026-04-01
102,FAR CRY 6,PS4,6,1,2023-01-22,2023-01-23,2026-04-01
103,Sifu,PS5,6,6,2022-02-13,2022-02-21,2026-04-01
