Rank,Game,Platform,Hours Played,Sessions,First Played,Last Played,Last Update,Days Active,Avg Session Hr,Engagement Tier,Genre,Gen,Top_Download_Year,Store_Category,Store_Region,Was_Top_Download
40,STAR WARS Jedi: Survivor,PS5,52.0,15,2023-04-28,2025-05-15,2026-04-01,749,3.47,Engaged,Action/Adventure,PS5,2023.0,PS5 Games,US/Canada,True
41,MLB The Show 23,PS4,51.0,25,2025-01-20,2025-01-27,2026-04-01,8,2.04,Engaged,Sports,PS4,2023.0,PS5 Games,US/Canada,True
42,Call of Duty: Modern Warfare II,PS5,51.0,30,2024-10-27,2024-11-17,2026-04-01,22,1.7,Engaged,Action/Shooter,PS5,2023.0,PS5 Games,EU,True
43,LEGO Star Wars: The Skywalker Saga,PS5,50.0,38,2022-04-10,2023-08-05,2026-04-01,483,1.32,Moderate,Family/Party,PS5,,,,False
44,Apex Legends,PS4,47.0,60,2021-04-05,2023-05-25,2026-04-01,781,0.78,Moderate,Action/Shooter,PS4,,,,False
45,Ghost of Yotei,PS5,42.0,8,2025-10-05,2026-01-21,2026-04-01,109,5.25,Moderate,Action/Adventure,PS5,2025.0,PS5 Games,US/Canada,True
46,KINGDOM HEARTS III,PS4,41.0,10,2023-03-22,2023-04-21,2026-04-01,31,4.1,Moderate,Other,PS4,,,,False
47,Sea of Stars,PS4,40.0,10,2023-11-22,2024-07-23,2026-04-01,245,4.0,Moderate,Indie/Platformer,PS4,,,,False
48,Minecraft,PS4,40.0,22,2022-04-15,2024-12-18,2026-04-01,979,1.82,Moderate,Sandbox,PS4,2024.0,PS5 Games,US/Canada,True
49,Assassin's Creed Shadows,PS5,40.0,8,2025-03-20,2025-04-05,2026-04-01,17,5.0,Moderate,Action/Adventure,PS5,2025.0,PS5 Games,US/Canada,True
50,Dungeon Defenders II,PS4,35.0,26,2024-11-17,2025-05-30,2026-04-01,195,1.35,Moderate,Other,PS4,,,,False
51,Genshin Impact,PS4,34.0,15,2021-07-12,2021-11-26,2026-04-01,138,2.27,Moderate,Gacha/RPG,PS4,,,,False
52,STAR WARS Battlefront II,PS4,34.0,35,2022-08-22,2025-07-19,2026-04-01,1063,0.97,Moderate,Other,PS4,2024.0,PS4 Games,US/Canada,True
53,ONE PIECE ODYSSEY,PS5,29.0,6,2023-02-03,2023-05-24,2026-04-01,111,4.83,Moderate,Other,PS5,,,,False
54,MLB The Show 22,PS4,29.0,30,2022-08-05,2022-12-20,2026-04-01,138,0.97,Moderate,Sports,PS4,,,,False
55,Borderlands: The Handsome Collection,PS4,29.0,12,2022-02-07,2024-09-15,2026-04-01,952,2.42,Moderate,Other,PS4,,,,False
56,A.O.T. 2,PS4,27.0,21,2021-04-26,2025-04-14,2026-04-01,1450,1.29,Moderate,Other,PS4,,,,False
57,Granblue Fantasy: Relink,PS5,27.0,15,2024-04-26,2024-05-16,2026-04-01,21,1.8,Moderate,Action/RPG,PS5,,,,False
59,ELDEN RING NIGHTREIGN,PS5,26.0,8,2025-05-31,2025-07-31,2026-04-01,62,3.25,Moderate,Other,PS5,,,,False
60,Spiritfarer,PS4,25.0,11,2022-07-09,2024-08-29,2026-04-01,783,2.27,Moderate,Indie/Platformer,PS4,,,,False
61,Assassin's Creed Syndicate,PS4,25.0,12,2024-11-17,2024-11-23,2026-04-01,7,2.08,Moderate,Other,PS4,,,,False
62,Hollow Knight,PS4,25.0,32,2021-10-19,2025-08-25,2026-04-01,1407,0.78,Moderate,Indie/Platformer,PS4,,,,False
63,FINAL FANTASY VII REMAKE,PS4,24.0,12,2021-05-09,2022-06-20,2026-04-01,408,2.0,Moderate,RPG,PS4,,,,False
64,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,PS4,23.0,40,2021-04-05,2025-03-10,2026-04-01,1436,0.57,Moderate,Other,PS4,,,,False
65,Where Winds Meet (F2P),PS5,23.0,4,2025-11-15,2025-11-24,2026-04-01,10,5.75,Moderate,Other,PS5,,,,False
66,ONE PIECE WORLD SEEKER,PS4,21.0,13,2021-04-16,2022-03-06,2026-04-01,325,1.62,Moderate,Other,PS4,,,,False
67,NEO: The World Ends with You,PS4,21.0,4,2023-06-25,2025-04-01,2026-04-01,647,5.25,Moderate,Other,PS4,,,,False
68,Tomb Raider: Definitive Edition,PS4,20.0,8,2025-02-23,2025-02-27,2026-04-01,5,2.5,Moderate,Other,PS4,,,,False
69,DRAGON BALL: Sparking! ZERO,PS5,20.0,25,2024-10-16,2024-12-23,2026-04-01,69,0.8,Moderate,Other,PS5,2024.0,PS5 Games,US/Canada,True
70,It Takes Two PS4 & PS5,PS4,18.0,15,2021-08-15,2025-05-30,2026-04-01,1385,1.2,Moderate,Other,PS4,,,,False
71,MLB The Show 23,PS5,17.0,8,2023-04-25,2025-08-31,2026-04-01,860,2.12,Moderate,Sports,PS5,2023.0,PS5 Games,US/Canada,True
72,Horizon Forbidden West,PS4,17.0,7,2022-12-26,2023-04-28,2026-04-01,124,2.43,Moderate,Other,PS4,,,,False
73,Splitgate,PS4,16.0,22,2021-07-24,2021-08-30,2026-04-01,38,0.73,Moderate,Other,PS4,,,,False
74,Yakuza Kiwami,PS4,16.0,4,2024-11-12,2024-11-13,2026-04-01,2,4.0,Moderate,Other,PS4,,,,False
75,Grand Theft Auto V,PS5,16.0,10,2026-01-21,2026-03-31,2026-04-01,70,1.6,Moderate,Other,PS5,2023.0,PS5 Games,US/Canada,True
76,Marvel's Spider-Man: Miles Morales,PS5,16.0,2,2023-10-07,2023-10-09,2026-04-01,3,8.0,Moderate,Other,PS5,,,,False
77,NBA LIVE 19,PS4,16.0,13,2024-10-27,2024-11-08,2026-04-01,13,1.23,Moderate,Sports,PS4,,,,False
78,LEGO Harry Potter Collection,PS4,15.0,14,2022-02-09,2022-09-04,2026-04-01,208,1.07,Moderate,Other,PS4,,,,False
80,NBA 2K16,PS4,15.0,8,2022-07-28,2025-03-30,2026-04-01,977,1.88,Moderate,Sports,PS4,,,,False
81,SWORD ART ONLINE Alicization Lycoris,PS4,15.0,7,2021-10-11,2022-10-23,2026-04-01,378,2.14,Moderate,Other,PS4,,,,False
82,BioShock: The Collection,PS4,15.0,8,2021-04-16,2024-08-31,2026-04-01,1234,1.88,Moderate,Other,PS4,,,,False
83,MLB The Show 21,PS4,14.0,18,2021-07-11,2021-08-13,2026-04-01,34,0.78,Moderate,Sports,PS4,,,,False
84,NieR Replicant ver.1.22474487139,PS4,14.0,21,2021-04-26,2025-04-24,2026-04-01,1460,0.67,Moderate,Other,PS4,,,,False
85,CRISIS CORE FINAL FANTASY VII REUNION,PS5,12.0,4,2022-12-26,2023-12-18,2026-04-01,358,3.0,Moderate,Other,PS5,,,,False
86,LEGO Marvel Super Heroes,PS4,12.0,1,2021-08-13,2025-09-01,2026-04-01,1481,12.0,Moderate,Other,PS4,,,,False
87,Batman: Return to Arkham,PS4,11.0,3,2024-05-31,2025-03-25,2026-04-01,299,3.67,Moderate,Other,PS4,,,,False
88,EA SPORTS College Football 26,PS5,10.0,2,2025-08-30,2025-08-31,2026-04-01,2,5.0,Casual,Sports,PS5,2025.0,PS5 Games,US/Canada,True
89,NieR:Automata,PS4,10.0,21,2021-07-11,2025-04-13,2026-04-01,1373,0.48,Casual,Other,PS4,,,,False
90,Middle-earth: Shadow of War,PS4,10.0,5,2021-10-09,2024-10-13,2026-04-01,1101,2.0,Casual,Other,PS4,2025.0,PS4 Games,US/Canada,True
91,ELDEN RING,PS5,10.0,6,2023-07-25,2023-09-04,2026-04-01,42,1.67,Casual,Action/RPG,PS5,2024.0,PS5 Games,EU,True
93,Demon Slayer: The Hinokami Chronicles,PS4,10.0,25,2021-10-19,2024-12-23,2026-04-01,1162,0.4,Casual,Other,PS4,,,,False
94,Sifu,PS4,8.0,9,2024-09-08,2025-03-10,2026-04-01,184,0.89,Casual,Other,PS4,,,,False
95,Batman: Return to Arkham (2nd entry),PS4,8.0,2,2022-04-03,2022-06-25,2026-04-01,84,4.0,Casual,Other,PS4,,,,False
96,Borderlands 3,PS5,8.0,7,2022-02-08,2025-04-23,2026-04-01,1171,1.14,Casual,Other,PS5,,,,False
97,Overwatch 2,PS5,7.0,4,2022-10-08,2025-02-23,2026-04-01,870,1.75,Casual,Action/Shooter,PS5,,,,False
98,NARUTO TO BORUTO: SHINOBI STRIKER,PS4,7.0,6,2021-04-15,2021-04-16,2026-04-01,2,1.17,Casual,Other,PS4,,,,False
99,Marvel's Guardians of the Galaxy,PS5,7.0,1,2021-11-13,2021-11-14,2026-04-01,2,7.0,Casual,Other,PS5,,,,False
100,A Way Out,PS4,7.0,2,2021-11-21,2024-11-11,2026-04-01,1087,3.5,Casual,Other,PS4,2024.0,PS4 Games,US/Canada,True
101,JUMP FORCE,PS4,7.0,10,2021-11-20,2024-10-22,2026-04-01,1068,0.7,Casual,Other,PS4,,,,False
102,FAR CRY 6,PS4,6.0,1,2023-01-22,2023-01-23,2026-04-01,2,6.0,Casual,Other,PS4,,,,False
103,Sifu,PS5,6.0,6,2022-02-13,2022-02-21,2026-04-01,9,1.0,Casual,Other,PS5,,,,False
104,Assassin's Creed Valhalla,PS5,6.0,6,2022-06-22,2022-07-02,2026-04-01,11,1.0,Casual,Other,PS5,,,,False
105,Shadow of the Tomb Raider,PS4,6.0,1,2025-02-27,2025-02-28,2026-04-01,2,6.0,Casual,Other,PS4,,,,False
106,Persona 5 Strikers,PS4,6.0,5,2022-01-06,2024-08-01,2026-04-01,939,1.2,Casual,Action/RPG,PS4,,,,False
107,The Elder Scrolls Online,PS4,6.0,3,2024-03-30,2024-04-01,2026-04-01,3,2.0,Casual,Other,PS4,,,,False
108,Infinity Nikki,PS5,6.0,11,2024-12-06,2024-12-23,2026-04-01,18,0.55,Casual,Other,PS5,,,,False
109,The Elder Scrolls Online,PS5,5.0,2,2022-04-19,2022-06-22,2026-04-01,65,2.5,Casual,Other,PS5,,,,False
110,BioShock: The Collection (2nd entry),PS4,5.0,1,2022-04-03,2022-04-04,2026-04-01,2,5.0,Casual,Other,PS4,,,,False
111,Assassin's Creed Unity,PS4,5.0,2,2021-11-13,2022-07-28,2026-04-01,258,2.5,Casual,Other,PS4,,,,False
112,Cyberpunk 2077 (2nd entry),PS4,5.0,10,2024-10-05,2024-11-10,2026-04-01,37,0.5,Casual,Other,PS4,,,,False
113,Tiny Tina's Assault on Dragon Keep,PS4,5.0,1,2022-02-07,2022-02-07,2026-04-01,1,5.0,Casual,Other,PS4,,,,False
114,Doki Doki Literature Club Plus!,PS4,5.0,3,2025-01-18,2025-01-21,2026-04-01,4,1.67,Casual,Other,PS4,,,,False
115,MLB The Show 17,PS4,5.0,4,2022-06-18,2022-06-21,2026-04-01,4,1.25,Casual,Sports,PS4,,,,False
116,OCTOPATH TRAVELER II,PS5,5.0,2,2025-12-26,2026-01-04,2026-04-01,10,2.5,Casual,RPG,PS5,,,,False
